Size,Building SF,Number Of Units,Number Of Floors,Price Per AC Land,Price Per SF Land,Asking Price,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Floor Area Ratio,Number Of Parking Spaces,Number Of Studios Units,Typical Floor (SF),Number Of 3 Bedrooms Units,Land Area AC,Land Area SF,Star Rating,Net Income,Year Built,Age,Sale Price
4403,4403.0,4.0,2.0,21225129.85,487.26,"1,950,000",0.0,4.0,0.65,5.0,0.0,2202.0,0.0,0.16,6753.0,2.0,73481.0,1976.0,47.0,1970000.0
4612,4612.0,5.0,1.0,4791620.83,110.0,"2,199,900",0.0,5.0,0.22,10.0,0.0,4612.0,0.0,0.48,20909.0,2.0,104203.0,1987.0,36.0,2300000.0
23591,23591.0,30.0,2.0,19583146.01,449.57,"9,500,000",16.0,13.0,1.13,45.0,0.0,11795.0,1.0,0.48,20909.0,2.0,391092.0,1987.0,36.0,9400000.0
6778,6778.0,8.0,3.0,12257701.42,281.4,"1,999,000",4.0,2.0,1.0,8.0,1.0,2259.0,1.0,0.16,6752.0,2.0,95000.0,1976.0,47.0,1900000.0
4193,4193.0,7.0,2.0,10979431.46,252.05,"1,995,000",0.0,0.0,0.53,12.0,7.0,2095.0,0.0,0.18,7915.0,2.0,112679.0,1982.0,41.0,1995000.0
14724,14724.0,12.0,2.0,18000000.0,413.22,"5,500,000",0.0,12.0,1.13,16.0,0.0,7362.0,0.0,0.3,13068.0,3.0,259403.0,1986.0,37.0,5400000.0
4566,4566.0,7.0,2.0,9400000.0,215.79,"1,950,000",7.0,0.0,0.52,12.0,0.0,2283.0,0.0,0.2,8712.0,2.0,100367.0,1978.0,45.0,1880000.0
9920,9920.0,10.0,2.0,22342467.72,512.91,"3,550,000",5.0,5.0,1.42,6.0,0.0,4960.0,0.0,0.16,6970.0,2.0,101486.0,1986.0,37.0,3575000.0
19368,19368.0,20.0,2.0,7557209.62,173.49,"7,795,000",8.0,10.0,0.54,20.0,0.0,9684.0,2.0,0.82,35737.0,2.0,307945.0,1976.0,47.0,6200000.0
9348,9348.0,10.0,2.0,10140131.05,232.79,"2,299,000",8.0,2.0,1.07,8.0,0.0,4674.0,0.0,0.2,8699.0,2.0,110705.0,1985.0,38.0,2025000.0
5792,5792.0,6.0,2.0,16260117.88,373.28,"2,700,000",0.0,4.0,0.81,6.0,0.0,2896.0,2.0,0.16,7126.0,2.0,129726.0,1986.0,37.0,2660000.0
5384,5384.0,6.0,2.0,13568383.15,311.49,"1,850,000",0.0,0.0,0.97,12.0,6.0,2692.0,0.0,0.13,5554.0,2.0,86675.0,1987.0,36.0,1730000.0
17096,17096.0,18.0,2.0,8892738.91,204.15,"6,300,000",0.0,18.0,0.63,28.0,0.0,8548.0,0.0,0.62,27186.0,2.0,207905.0,1977.0,46.0,5550000.0
6044,6044.0,8.0,2.0,12367972.74,283.93,"2,000,000",5.0,3.0,0.86,13.0,0.0,3022.0,0.0,0.16,7044.0,2.0,89201.0,1986.0,37.0,2000000.0
8000,8000.0,8.0,2.0,18888407.09,433.62,"3,650,000",0.0,8.0,1.02,16.0,0.0,4000.0,0.0,0.18,7841.0,3.0,68000.0,1985.0,38.0,3400000.0
8208,8208.0,10.0,2.0,12132732.19,278.53,"2,845,000",8.0,0.0,0.82,18.0,0.0,4104.0,2.0,0.23,9981.0,2.0,116867.0,1987.0,36.0,2780000.0
23092,23092.0,27.0,2.0,29118433.49,668.47,"11,200,000",12.0,15.0,1.56,27.0,0.0,11546.0,0.0,0.34,14810.0,3.0,445500.0,2002.0,21.0,9900000.0
30018,30018.0,33.0,2.0,8086956.52,185.65,"9,950,000",10.0,19.0,0.6,48.0,0.0,15009.0,4.0,1.15,50094.0,2.0,424760.0,1995.0,28.0,9300000.0
3700,3700.0,6.0,2.0,11362687.81,260.85,"1,250,000",1.0,1.0,0.77,7.0,4.0,1850.0,0.0,0.11,4792.0,2.0,32764.0,1988.0,35.0,1250000.0
8957,8957.0,10.0,2.0,23606829.13,541.94,"4,000,000",1.0,9.0,1.27,21.0,0.0,4478.0,0.0,0.16,7058.0,2.0,152046.0,1985.0,38.0,3825000.0
4872,4872.0,5.0,2.0,10703454.09,245.72,"1,750,000",0.0,5.0,0.68,10.0,0.0,2436.0,0.0,0.16,7122.0,2.0,58916.0,1985.0,38.0,1750000.0
9211,9211.0,10.0,2.0,16257709.25,373.23,"3,500,000",0.0,10.0,1.13,18.0,0.0,4600.0,0.0,0.19,8172.0,3.0,149450.0,1987.0,36.0,3050000.0
4942,4942.0,5.0,2.0,6270225.43,143.95,"1,475,000",0.0,5.0,0.48,5.0,0.0,2471.0,0.0,0.24,10247.0,2.0,63874.0,1990.0,33.0,1475000.0
19938,19938.0,34.0,2.0,7341857.49,168.55,"5,800,000",0.0,0.0,0.58,40.0,34.0,9969.0,0.0,0.79,34412.0,2.0,218358.0,1977.0,46.0,5800000.0
13120,13120.0,18.0,2.0,10577016.47,242.82,"5,700,000",2.0,13.0,0.58,29.0,0.0,6368.0,3.0,0.52,22651.0,2.0,384750.0,1987.0,36.0,5500000.0
20852,20852.0,24.0,2.0,20537234.04,471.47,"8,000,000",0.0,24.0,1.26,51.0,0.0,10426.0,0.0,0.38,16544.0,3.0,370512.0,1988.0,35.0,7800000.0
8621,8621.0,7.0,2.0,34706819.72,796.76,"6,100,000",0.0,1.0,1.16,16.0,0.0,4310.0,6.0,0.17,7405.0,3.0,231800.0,1990.0,33.0,5900000.0
5616,5616.0,7.0,2.0,6342618.38,145.61,"1,750,000",1.0,6.0,0.47,13.0,0.0,2808.0,0.0,0.27,11847.0,3.0,70600.0,1992.0,31.0,1725000.0
7760,7760.0,6.0,3.0,22173470.41,509.03,"5,200,000",0.0,0.0,0.77,22.0,6.0,2587.0,0.0,0.23,10019.0,2.0,206082.0,1980.0,43.0,5100000.0
8329,8329.0,9.0,2.0,20491844.36,470.43,"3,275,000",1.0,8.0,1.3,10.0,0.0,4164.0,0.0,0.15,6425.0,3.0,129967.0,1987.0,36.0,3022500.0
7607,7607.0,8.0,2.0,15106842.74,346.81,"2,600,000",0.0,8.0,1.01,14.0,0.0,3839.0,0.0,0.17,7497.0,2.0,89960.0,1987.0,36.0,2600000.0
3224,3224.0,4.0,2.0,10906525.04,250.38,"1,845,000",0.0,4.0,0.44,10.0,0.0,1612.0,0.0,0.17,7249.0,2.0,83077.0,1988.0,35.0,1815000.0
8856,8856.0,12.0,2.0,6571064.91,150.85,"3,350,000",0.0,12.0,0.42,27.0,0.0,4428.0,0.0,0.49,21213.0,3.0,121558.0,1987.0,36.0,3200000.0
5096,5096.0,5.0,2.0,6378844.0,146.44,"2,190,000",0.0,4.0,0.44,5.0,0.0,2548.0,1.0,0.27,11609.0,2.0,79900.0,1976.0,47.0,1700000.0
6616,6616.0,7.0,2.0,20294665.77,465.9,"3,500,000",0.0,0.0,0.89,13.0,7.0,3308.0,0.0,0.17,7405.0,2.0,151800.0,1988.0,35.0,3450000.0
6727,6727.0,6.0,2.0,20751361.1,476.39,"2,749,000",0.0,0.0,1.1,12.0,6.0,3364.0,0.0,0.14,6098.0,2.0,122010.0,1988.0,35.0,2905000.0
16169,16169.0,20.0,2.0,26276336.19,603.22,"9,100,000",7.0,11.0,1.09,31.0,1.0,8084.0,1.0,0.34,14837.0,2.0,277450.0,1987.0,36.0,8950000.0
8944,8944.0,12.0,2.0,13571795.12,311.57,"3,550,000",0.0,0.0,0.86,12.0,12.0,4472.0,0.0,0.24,10367.0,2.0,113750.0,1986.0,37.0,3230000.0
9770,9770.0,9.0,2.0,10074195.26,231.27,"4,075,000",0.0,5.0,0.57,18.0,0.0,4885.0,4.0,0.39,16993.0,2.0,185174.0,1988.0,35.0,3930000.0
33504,33504.0,33.0,2.0,20786335.8,477.2,"12,900,000",0.0,33.0,1.24,66.0,0.0,16752.0,0.0,0.62,27033.0,2.0,749050.0,1987.0,36.0,12900000.0
