BuildingSF,SalePrice,YearBuilt,LandAreaSF,AvgUnitSF,Coverage,ImprovementRatio,MarketTime,NetIncome,NumberOf1BedroomsUnits,NumberOf2BedroomsUnits,NumberOf3BedroomsUnits,NumberOfOtherBedroomsUnits,NumberOfParkingSpaces,NumberOfStudiosUnits,ParkingRatio,UnitsPerAcre,LocationType,BuildingCondition,BuildingMaterials,PortfolioCounty,BusinessCenter,CommunityWideWiFi,CorporateSuites,DayCare,DisposalChutes,Elevator,EnergyStarLabeled,OnSiteRetail,PackageService,PetWashingStation,PropertyManageronSite,Sauna,Spa,StorageSpace,WiFi
2364,1850000,1935,5656,812,0.41796285540766,85.07,95,106572,3,0,0,0,4,0,1.69,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4218,850000,1922,6534,812,0.32277318640955,20,61,50660,4,0,0,0,4,0,0.8,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4718,1620000,1940,6534,812,0.361034588307316,67.44,135,89104,6,0,0,0,4,0,0.85,38,Suburban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3110,1624000,1940,6534,812,0.237985919804102,38.98,144,77784,3,1,0,0,6,0,1.29,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3872,1475000,1914,4487,812,0.431499460625674,58.57,88,106572,0,4,0,0,8,0,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2722,1038000,1940,8712,812,0.312442607897153,77.66,95,106572,0,3,0,0,6,0,2.2,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6418,2275000,1941,20038,812,0.160148920030343,43.48,108,106572,8,0,0,0,8,0,0,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2894,4600000,1913,2393,812,0.604677285362547,16.96,95,63486,4,0,0,0,3,0,1.04,44,Suburban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4564,2050000,1927,5663,500,0.363071272162181,53.36,28,106572,0,0,0,0,4,8,0.97,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
7192,1975000,1936,14810,812,0.213633662831524,40,77,106572,0,0,0,0,4,5,0.56,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3956,1525000,1913,10283,812,0.192356484606473,31.11,95,106572,0,1,2,0,3,0,0.76,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
